id,x,y
1,646910.8771520248,7448738.294366394
2,646741.1597770685,7447869.9871636275
3,646909.4664193168,7448774.153266793
4,646895.4334918438,7448777.790124546
5,646921.466654487,7448831.761961785
6,647057.7701572645,7448946.840735997
7,646957.4312574891,7448929.830857177
8,646721.7165068407,7448963.368677545
9,646683.6160472771,7448976.653519213
10,646702.9609298259,7448950.39699971
11,646640.8901191633,7449009.406506034
12,646625.9711813489,7449023.051160655
13,646602.8180969236,7449099.961918239
14,646547.0765589317,7449155.598043642
15,646499.6724898107,7449164.809729494
16,646477.8899831744,7449186.007026566
17,646438.1168134063,7449194.922431747
18,645958.315919538,7449538.696791259
19,645976.9091827068,7449564.460859749
20,646009.9452174716,7449541.261163293
21,645912.1975407526,7449569.598027627
22,645984.3049599072,7449574.709304027
23,646004.3836838752,7449602.529614454
24,645937.9833155731,7449605.789770732
25,645957.1823266279,7449632.721755224
26,645794.8848572811,7449648.187805801
27,645766.6352405371,7449667.33183255
28,645792.6159634385,7449671.973568911
29,645810.321484874,7449672.864357354
30,645694.8757565143,7449715.955680033
31,645873.2448493326,7449773.463613572
32,645737.8862757748,7449782.653803518
33,645519.4910940137,7449834.783827453
34,645659.2608634867,7449837.645005095
35,645660.7797943121,7449872.677779758
36,645380.5039139371,7449752.01875028
37,645463.2550994819,7449872.890957279
38,645581.4819756327,7449889.11724217
39,645706.0695399279,7449889.202090029
40,645619.591253683,7449896.454138739
41,645461.0887272386,7449899.909084093
42,645563.1531050447,7449901.088517527
43,645508.0643958757,7449937.058555632
44,645620.1908330759,7449948.670791999
45,645602.5711736036,7449960.867764
46,645549.1217135647,7449997.873996385
47,648182.2564604804,7450023.098631372
48,645576.8273514519,7450043.958440357
49,649612.0577938659,7450113.440659956
50,649776.2751517761,7450047.661917336
51,649591.1095746243,7450113.240020146
52,643884.010874372,7450195.234218725
53,643602.630433226,7450184.899298147
54,643909.3675346458,7450191.436232159
55,637937.2659533713,7450235.149770357
56,635358.7288804129,7449942.611130627
57,638004.9922523005,7450236.563812333
58,644570.0086202212,7450241.243158736
59,644510.8234622488,7450258.70083373
60,650220.8843039898,7450260.865621363
61,643648.1417713128,7450319.901621241
62,642545.476609502,7450359.107940125
63,642467.2206439339,7450363.838299642
64,644108.8268412752,7450377.247119072
65,640134.7705367068,7450378.627257654
66,640174.3927264623,7450380.34963109
67,640196.3719408205,7450381.295696727
68,640236.8347803326,7450383.054336631
69,642094.467685137,7450387.463345454
70,640169.3773230836,7450409.463711348
71,643865.4320312254,7450424.764439854
72,643945.4379297337,7450426.144631543
73,643874.6869049836,7450449.457842343
74,642098.6714993268,7450456.8973747
75,643809.2732119085,7450514.27788748
76,643809.9012181712,7450526.330770122
77,651632.6539453575,7450488.612217563
78,649974.3504943158,7450538.171697199
79,643769.2733559832,7450548.125293311
80,637924.3159466889,7450548.361160635
81,643790.1228963574,7450556.208211157
82,649995.1552962707,7450561.871601311
83,642792.3252710989,7450609.474057456
84,643818.6215182655,7450612.807696577
85,643806.6335266484,7450626.886221966
86,644657.0795212369,7450616.954663432
87,650230.4087278247,7450757.258645519
88,649310.3943440011,7450751.012472894
89,652921.7442616792,7450795.783329004
90,643855.201262855,7450830.203600227
91,648153.905980044,7450853.067027111
92,643868.6929548737,7450860.680952867
93,640259.0831303829,7450878.272791203
94,644200.6756159244,7450900.345732545
95,640227.0299761388,7450931.048540205
96,640320.3130656984,7450936.28823489
97,643901.6569035668,7450995.924872215
98,651289.6919386089,7450988.080709808
99,652902.528311382,7450872.405957931
100,652995.974650221,7451132.4894718835
101,653022.3236503899,7451140.525969336
102,653010.9583352488,7451151.605013802
103,653011.7592095584,7451154.763950941
104,653050.8413719712,7451156.203364064
105,653025.5659061708,7451159.971712802
106,647812.9905181918,7451201.0520401
107,653127.7491679089,7451203.633595589
108,647779.4673064267,7451237.349346695
109,653057.402622127,7451283.939231201
110,650426.6458385028,7451323.780711248
111,653130.2097186893,7451341.222736715
112,647677.9459362729,7451390.189952226
113,653716.4840333704,7451475.973380743
114,653187.7556568924,7451515.767385744
115,653499.4135532156,7451451.852011172
116,653767.5031007789,7451576.986424094
117,654483.4658823712,7451857.162170945
118,654598.9566670116,7451902.283265592
119,654491.3617830779,7451873.481255155
120,654809.6906860042,7451919.289873665
121,654821.6721309293,7451921.292403853
122,654617.170218071,7451898.385791475
123,654809.1435336377,7451921.886809994
124,654833.5507560289,7451923.262764318
125,654821.2173274886,7451923.899461503
126,654833.1986639164,7451925.890910068
127,647331.5255443808,7451929.268029182
128,647653.0839007013,7451429.812282002
129,654840.633329899,7451947.131404575
130,654748.0535902241,7451953.202878148
131,654756.9162019324,7451954.905418165
132,654795.5215045745,7451955.570187227
133,654622.6138989162,7451956.190690978
134,654599.82830742,7451952.051357634
135,654414.7203527298,7451956.261323374
136,654801.8356259782,7451956.623492115
137,654771.7454134729,7451957.753447021
138,654535.6177611742,7451958.072735996
139,654644.5571066914,7451960.139344971
140,654784.767309647,7451960.265745981
141,654794.0304069156,7451962.041649469
142,654800.4385920204,7451963.271166649
143,654841.5598164573,7451963.411530874
144,654665.7610949855,7451963.962702813
145,654880.263108558,7451964.628766852
146,654694.2965144953,7451969.094664113
147,654878.7477033259,7451971.720628649
148,654715.0075957393,7451972.823372157
149,654734.6405816777,7451976.363843009
150,654508.7835862823,7451978.791519418
151,654426.6726034451,7451979.326963506
152,654753.0080669839,7451980.426742655
153,654410.2604094986,7451981.998602916
154,654876.3642268414,7451983.084900033
155,654766.6414714223,7451983.597182987
156,654489.201375844,7451985.150273922
157,654780.3364853673,7451986.778049519
158,654518.1212255312,7451986.812487557
159,654447.4346801937,7451988.016605014
160,654571.8006573832,7451989.227264115
161,654794.7507025786,7451990.128664722
162,654506.1337233903,7451990.191678312
163,654592.1547517218,7451993.125927871
164,654423.7875949629,7451995.768133815
165,654614.1212369436,7451997.340162415
166,655139.0545913754,7451999.21826064
167,654635.5435587689,7452001.460310135
168,654407.4909891877,7452001.705369518
169,654656.8117158003,7452005.537721948
170,654392.6846875343,7452009.044703154
171,655140.0179240946,7452009.119440769
172,654678.0080352556,7452009.604771245
173,654685.7921032403,7452011.074850367
174,654510.9024336115,7452013.353395352
175,654707.9631558433,7452015.24254617
176,654381.3994115973,7452017.920274503
177,654582.8001808831,7452043.14335434
178,654962.8839315288,7452047.172993686
179,655003.243004079,7452032.049902173
180,654603.6755455974,7452047.889324281
181,654624.3866124386,7452052.603737907
182,654645.6421022937,7452057.434324193
183,655365.7964055026,7452062.340596951
184,654401.2019356573,7452064.824691209
185,654408.0490817437,7452065.883750536
186,655155.6053478457,7452003.011543741
187,655359.170699982,7452066.838780733
188,655384.4588511698,7452067.14163999
189,655364.2317944393,7452067.980333596
